KHR-GL46.gl_spirv.spirv_glsl_to_spirv_builtin_functions_test,Fail
KHR-GL46.packed_pixels.pbo_rectangle.r16_snorm,Fail
KHR-GL46.packed_pixels.pbo_rectangle.r8_snorm,Fail
KHR-GL46.packed_pixels.pbo_rectangle.rg16_snorm,Fail
KHR-GL46.packed_pixels.pbo_rectangle.rg8_snorm,Fail
KHR-GL46.packed_pixels.pbo_rectangle.rgb16_snorm,Fail
KHR-GL46.packed_pixels.pbo_rectangle.rgb8_snorm,Fail
KHR-GL46.packed_pixels.pbo_rectangle.rgba16_snorm,Fail
KHR-GL46.packed_pixels.pbo_rectangle.rgba8_snorm,Fail
KHR-GL46.packed_pixels.rectangle.r16_snorm,Fail
KHR-GL46.packed_pixels.rectangle.r8_snorm,Fail
KHR-GL46.packed_pixels.rectangle.rg16_snorm,Fail
KHR-GL46.packed_pixels.rectangle.rg8_snorm,Fail
KHR-GL46.packed_pixels.rectangle.rgb16_snorm,Fail
KHR-GL46.packed_pixels.rectangle.rgb8_snorm,Fail
KHR-GL46.packed_pixels.rectangle.rgba16_snorm,Fail
KHR-GL46.packed_pixels.rectangle.rgba8_snorm,Fail
KHR-GL46.packed_pixels.varied_rectangle.r16_snorm,Fail
KHR-GL46.packed_pixels.varied_rectangle.r8_snorm,Fail
KHR-GL46.packed_pixels.varied_rectangle.rg16_snorm,Fail
KHR-GL46.packed_pixels.varied_rectangle.rg8_snorm,Fail
KHR-GL46.packed_pixels.varied_rectangle.rgb16_snorm,Fail
KHR-GL46.packed_pixels.varied_rectangle.rgb8_snorm,Fail
KHR-GL46.packed_pixels.varied_rectangle.rgba16_snorm,Fail
KHR-GL46.packed_pixels.varied_rectangle.rgba8_snorm,Fail
KHR-GL46.shader_ballot_tests.ShaderBallotFunctionRead,Fail
KHR-GL46.shader_image_load_store.basic-api-bind,Fail
KHR-GL46.sparse_buffer_tests.BufferStorageTest,Fail
